## Mon Sep  5 18:52:54 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_rhdhx_42 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_rhdhx_42 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_rhdhx_42/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Bc_00023	483215.BACFIN_04794	0.0	960.0	COG0606@1|root,COG0606@2|Bacteria,4NE0G@976|Bacteroidetes,2FMHE@200643|Bacteroidia,4AKMW@815|Bacteroidaceae	976|Bacteroidetes	O	Magnesium chelatase, subunit ChlI	comM	-	-	ko:K07391	-	-	-	-	ko00000	-	-	-	ChlI,Mg_chelatase,Mg_chelatase_C
Bc_00024	411901.BACCAC_00025	1.28e-255	701.0	COG0526@1|root,COG0526@2|Bacteria,4NRAI@976|Bacteroidetes,2FND4@200643|Bacteroidia,4AMJU@815|Bacteroidaceae	976|Bacteroidetes	CO	AhpC TSA family	-	-	-	-	-	-	-	-	-	-	-	-	AhpC-TSA,DUF4369,Thioredoxin_8
Bc_00025	411901.BACCAC_00026	6.67e-305	829.0	2A58H@1|root,30TXN@2|Bacteria,4NPD1@976|Bacteroidetes,2FQJR@200643|Bacteroidia,4AK7I@815|Bacteroidaceae	976|Bacteroidetes	S	aa) fasta scores E()	-	-	-	-	-	-	-	-	-	-	-	-	DUF5128
Bc_00026	411901.BACCAC_00027	0.0	1019.0	COG0457@1|root,COG0457@2|Bacteria,4NRRJ@976|Bacteroidetes,2FRD4@200643|Bacteroidia,4AKSU@815|Bacteroidaceae	976|Bacteroidetes	S	Tetratricopeptide repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	-
Bc_00027	411901.BACCAC_00028	0.0	1030.0	COG0457@1|root,COG0457@2|Bacteria,4NIJG@976|Bacteroidetes,2FPCN@200643|Bacteroidia,4AMCA@815|Bacteroidaceae	976|Bacteroidetes	S	Tetratricopeptide repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	OmpA,TPR_16,TPR_2,TPR_8
Bc_00028	411901.BACCAC_00029	8.19e-217	599.0	COG4974@1|root,COG4974@2|Bacteria,4NE0E@976|Bacteroidetes,2FP3B@200643|Bacteroidia,4AMRR@815|Bacteroidaceae	976|Bacteroidetes	D	Tyrosine recombinase XerC	xerC	-	-	ko:K04763	-	-	-	-	ko00000,ko03036	-	-	-	Phage_int_SAM_1,Phage_integrase
Bc_00029	411901.BACCAC_00030	2.4e-97	283.0	COG0757@1|root,COG0757@2|Bacteria,4NNHU@976|Bacteroidetes,2FR57@200643|Bacteroidia,4AQMI@815|Bacteroidaceae	976|Bacteroidetes	E	Catalyzes a trans-dehydration via an enolate intermediate	aroQ	-	4.2.1.10	ko:K03786	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03084	RC00848	ko00000,ko00001,ko00002,ko01000	-	-	-	DHquinase_II
Bc_00030	411901.BACCAC_00031	0.0	942.0	COG0469@1|root,COG0469@2|Bacteria,4NEEU@976|Bacteroidetes,2FNU3@200643|Bacteroidia,4AKUC@815|Bacteroidaceae	976|Bacteroidetes	G	Pyruvate kinase	pyk	-	2.7.1.40	ko:K00873	ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko04930,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map04930,map05165,map05203,map05230	M00001,M00002,M00049,M00050	R00200,R00430,R01138,R01858,R02320	RC00002,RC00015	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	PK,PK_C
Bc_00031	411901.BACCAC_00032	2.24e-153	430.0	COG4122@1|root,COG4122@2|Bacteria,4NH42@976|Bacteroidetes,2FM5S@200643|Bacteroidia,4AMJY@815|Bacteroidaceae	976|Bacteroidetes	S	Psort location Cytoplasmic, score	mdmC	-	2.1.1.104	ko:K00588	ko00360,ko00940,ko00941,ko00945,ko01100,ko01110,map00360,map00940,map00941,map00945,map01100,map01110	M00039,M00350	R01942,R06578	RC00003,RC00392	ko00000,ko00001,ko00002,ko01000	-	-	-	Methyltransf_3
Bc_00032	411901.BACCAC_00033	5.01e-69	209.0	COG0858@1|root,COG0858@2|Bacteria,4NSQJ@976|Bacteroidetes,2FT27@200643|Bacteroidia,4AWD8@815|Bacteroidaceae	976|Bacteroidetes	J	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA	rbfA	-	-	ko:K02834	-	-	-	-	ko00000,ko03009	-	-	-	RBFA
Bc_00033	226186.BT_2838	1.29e-264	728.0	COG4591@1|root,COG4591@2|Bacteria,4NG04@976|Bacteroidetes,2FNHB@200643|Bacteroidia,4AKWK@815|Bacteroidaceae	976|Bacteroidetes	M	COG4591 ABC-type transport system, involved in lipoprotein release, permease component	lolE	-	-	ko:K09808,ko:K09815	ko02010,map02010	M00242,M00255	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.125,3.A.1.15.3,3.A.1.15.5	-	-	FtsX,MacB_PCD
Bc_00034	411901.BACCAC_00035	0.0	1630.0	28KWR@1|root,2ZACV@2|Bacteria,4NJSD@976|Bacteroidetes,2FPFG@200643|Bacteroidia,4AMQG@815|Bacteroidaceae	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bc_00035	411901.BACCAC_00036	1.67e-251	689.0	COG1013@1|root,COG1013@2|Bacteria,4NIE0@976|Bacteroidetes,2FME7@200643|Bacteroidia,4AKME@815|Bacteroidaceae	976|Bacteroidetes	C	COG1013 Pyruvate ferredoxin oxidoreductase and related 2-oxoacid ferredoxin	oorB	-	1.2.7.11,1.2.7.3	ko:K00175	ko00010,ko00020,ko00620,ko00650,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00650,map00720,map01100,map01120,map01130,map01200	M00009,M00011,M00173,M00620	R01196,R01197	RC00004,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C
Bc_00036	411901.BACCAC_00037	0.0	1229.0	COG0674@1|root,COG1014@1|root,COG0674@2|Bacteria,COG1014@2|Bacteria,4NEP3@976|Bacteroidetes,2FN08@200643|Bacteroidia,4AM9Z@815|Bacteroidaceae	976|Bacteroidetes	C	2-oxoacid acceptor oxidoreductase, alpha subunit	porA	-	1.2.7.11,1.2.7.3	ko:K00174	ko00010,ko00020,ko00620,ko00650,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00650,map00720,map01100,map01120,map01130,map01200	M00009,M00011,M00173,M00620	R01196,R01197	RC00004,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	PFOR_II,POR,POR_N
Bc_00038	411901.BACCAC_00039	0.0	1892.0	COG0341@1|root,COG0342@1|root,COG0341@2|Bacteria,COG0342@2|Bacteria,4NE1X@976|Bacteroidetes,2FMPX@200643|Bacteroidia,4AMC3@815|Bacteroidaceae	976|Bacteroidetes	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA	secD	-	-	ko:K03072,ko:K12257	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	2.A.6.4,3.A.5.2,3.A.5.7	-	-	SecD_SecF,Sec_GG
Bc_00039	411901.BACCAC_00040	0.0	1385.0	COG0339@1|root,COG0339@2|Bacteria,4NFYA@976|Bacteroidetes,2FNQV@200643|Bacteroidia,4ANN5@815|Bacteroidaceae	976|Bacteroidetes	E	Peptidase family M3	dcp	-	3.4.15.5	ko:K01284	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M3
Bc_00040	411901.BACCAC_00041	1.58e-263	722.0	COG0708@1|root,COG0708@2|Bacteria,4PKWM@976|Bacteroidetes,2G06G@200643|Bacteroidia,4AMS0@815|Bacteroidaceae	976|Bacteroidetes	L	Endonuclease Exonuclease phosphatase family	-	-	-	-	-	-	-	-	-	-	-	-	Exo_endo_phos
Bc_00041	411901.BACCAC_00042	7.54e-210	580.0	COG0705@1|root,COG0705@2|Bacteria,4NGVJ@976|Bacteroidetes,2FMGW@200643|Bacteroidia,4ANE0@815|Bacteroidaceae	976|Bacteroidetes	S	Psort location CytoplasmicMembrane, score 10.00	-	-	-	-	-	-	-	-	-	-	-	-	Rhomboid
Bc_00042	411901.BACCAC_00043	6.64e-162	453.0	COG0705@1|root,COG0705@2|Bacteria,4NIYR@976|Bacteroidetes,2FNMJ@200643|Bacteroidia,4AK5X@815|Bacteroidaceae	976|Bacteroidetes	S	Psort location CytoplasmicMembrane, score	-	-	3.4.21.105	ko:K09650	-	-	-	-	ko00000,ko01000,ko01002,ko03029	-	-	-	Rhomboid
Bc_00043	411901.BACCAC_00044	6.82e-51	161.0	COG0776@1|root,COG0776@2|Bacteria,4NSK6@976|Bacteroidetes,2FTWW@200643|Bacteroidia,4ARQ9@815|Bacteroidaceae	976|Bacteroidetes	L	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions	hupB	-	-	ko:K03530	-	-	-	-	ko00000,ko03032,ko03036,ko03400	-	-	-	Bac_DNA_binding
Bc_00044	411901.BACCAC_00045	0.0	1182.0	COG0018@1|root,COG0018@2|Bacteria,4NE7Q@976|Bacteroidetes,2FN06@200643|Bacteroidia,4ANJJ@815|Bacteroidaceae	976|Bacteroidetes	J	Psort location Cytoplasmic, score	argS	GO:0003674,GO:0003824,GO:0004812,GO:0004814,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006420,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.19	ko:K01887	ko00970,map00970	M00359,M00360	R03646	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	Arg_tRNA_synt_N,DALR_1,tRNA-synt_1d
Bc_00045	411901.BACCAC_00046	0.0	1367.0	COG3391@1|root,COG3391@2|Bacteria,4NSRY@976|Bacteroidetes,2FQ8E@200643|Bacteroidia,4AM28@815|Bacteroidaceae	976|Bacteroidetes	S	COG NOG28036 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	DUF4114,DUF4842
Bc_00046	411901.BACCAC_00047	0.0	1521.0	COG0550@1|root,COG0550@2|Bacteria,4NF9S@976|Bacteroidetes,2FMSF@200643|Bacteroidia,4AKH7@815|Bacteroidaceae	976|Bacteroidetes	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	topA	-	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	Topoisom_bac,Toprim,Toprim_C_rpt
Bc_00047	411901.BACCAC_00048	0.0	2660.0	COG0642@1|root,COG0745@1|root,COG2207@1|root,COG3292@1|root,COG3386@1|root,COG0745@2|Bacteria,COG2205@2|Bacteria,COG2207@2|Bacteria,COG3292@2|Bacteria,COG3386@2|Bacteria,4NITX@976|Bacteroidetes,2FM2F@200643|Bacteroidia,4ANIP@815|Bacteroidaceae	976|Bacteroidetes	T	COG COG4753 Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HTH_18,HisKA,Reg_prop,Response_reg,Y_Y_Y
Bc_00048	411901.BACCAC_00049	1.63e-284	775.0	COG2273@1|root,COG2273@2|Bacteria,4NGMJ@976|Bacteroidetes,2FQ32@200643|Bacteroidia,4AQ1C@815|Bacteroidaceae	976|Bacteroidetes	G	Domain of unknown function (DUF4971)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4971,Glyco_hydro_16
Bc_00049	411901.BACCAC_00050	0.0	995.0	COG3210@1|root,COG3210@2|Bacteria,4NXZR@976|Bacteroidetes,2FPWK@200643|Bacteroidia,4AP8M@815|Bacteroidaceae	976|Bacteroidetes	U	Putative binding domain, N-terminal	-	-	-	-	-	-	-	-	-	-	-	-	BACON
Bc_00050	411901.BACCAC_00051	0.0	974.0	2F73I@1|root,33ZJ4@2|Bacteria,4NSYN@976|Bacteroidetes,2FQTH@200643|Bacteroidia,4ANV5@815|Bacteroidaceae	976|Bacteroidetes	S	Putative binding domain, N-terminal	-	-	-	-	-	-	-	-	-	-	-	-	BACON
Bc_00051	411901.BACCAC_00052	0.0	1174.0	COG1435@1|root,COG1435@2|Bacteria,4NE0A@976|Bacteroidetes,2FM03@200643|Bacteroidia,4AMPA@815|Bacteroidaceae	976|Bacteroidetes	F	SusD family	-	-	-	ko:K21572	-	-	-	-	ko00000,ko02000	8.A.46.1,8.A.46.3	-	-	SusD-like_3,SusD_RagB
Bc_00052	411901.BACCAC_00053	0.0	1849.0	COG1629@1|root,COG4771@2|Bacteria,4NFFW@976|Bacteroidetes,2FMGS@200643|Bacteroidia,4AMHY@815|Bacteroidaceae	976|Bacteroidetes	P	TonB-linked outer membrane protein, SusC RagA family	-	-	-	-	-	-	-	-	-	-	-	-	Plug,TonB_dep_Rec
Bc_00053	411901.BACCAC_00054	0.0	1233.0	COG0614@1|root,COG0614@2|Bacteria,4NG4F@976|Bacteroidetes,2FM26@200643|Bacteroidia,4AM7G@815|Bacteroidaceae	976|Bacteroidetes	P	SusD family	-	-	-	ko:K21572	-	-	-	-	ko00000,ko02000	8.A.46.1,8.A.46.3	-	-	SusD-like_3,SusD_RagB
Bc_00054	411901.BACCAC_00055	0.0	2112.0	COG4206@1|root,COG4206@2|Bacteria,4P258@976|Bacteroidetes,2FWW6@200643|Bacteroidia,4AWE3@815|Bacteroidaceae	976|Bacteroidetes	H	TonB-linked outer membrane protein, SusC RagA family	-	-	-	-	-	-	-	-	-	-	-	-	CarbopepD_reg_2,Plug,TonB_dep_Rec
Bc_00056	411901.BACCAC_00056	1.96e-126	360.0	COG0776@1|root,COG0776@2|Bacteria,4P464@976|Bacteroidetes,2FQHZ@200643|Bacteroidia,4ANG0@815|Bacteroidaceae	976|Bacteroidetes	L	Psort location Cytoplasmic, score 8.96	-	-	-	-	-	-	-	-	-	-	-	-	Bac_DNA_binding
Bc_00057	411901.BACCAC_00057	0.0	1170.0	COG4206@1|root,COG4206@2|Bacteria,4NGYD@976|Bacteroidetes,2FNFI@200643|Bacteroidia,4ANKS@815|Bacteroidaceae	976|Bacteroidetes	H	Psort location OuterMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	TonB_dep_Rec
Bc_00058	411901.BACCAC_00058	0.0	1747.0	COG0457@1|root,COG1729@1|root,COG4105@1|root,COG0457@2|Bacteria,COG1729@2|Bacteria,COG4105@2|Bacteria,4NE4W@976|Bacteroidetes,2FM3C@200643|Bacteroidia,4AM5H@815|Bacteroidaceae	976|Bacteroidetes	S	Tetratricopeptide repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	TPR_16,TPR_2,TPR_21,TPR_6,TPR_8
Bc_00059	411901.BACCAC_00059	3.73e-126	358.0	COG1051@1|root,COG1051@2|Bacteria,4NR4K@976|Bacteroidetes,2G0FH@200643|Bacteroidia,4AKDB@815|Bacteroidaceae	976|Bacteroidetes	F	Psort location Cytoplasmic, score 8.96	-	-	-	-	-	-	-	-	-	-	-	-	NUDIX,zf-NADH-PPase
Bc_00060	411901.BACCAC_00061	0.0	1019.0	2DBEW@1|root,2Z8UY@2|Bacteria,4NH98@976|Bacteroidetes,2FPNP@200643|Bacteroidia,4APAY@815|Bacteroidaceae	976|Bacteroidetes	S	COG NOG30867 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	DUF4832,DUF4874
Bc_00061	411901.BACCAC_00062	0.0	1108.0	COG1501@1|root,COG1501@2|Bacteria,4NJ93@976|Bacteroidetes,2FNSR@200643|Bacteroidia,4AVIA@815|Bacteroidaceae	976|Bacteroidetes	G	Belongs to the glycosyl hydrolase 31 family	-	-	3.2.1.20	ko:K01187	ko00052,ko00500,ko01100,map00052,map00500,map01100	-	R00028,R00801,R00802,R06087,R06088	RC00028,RC00049,RC00077	ko00000,ko00001,ko01000	-	GH31	-	Glyco_hydro_31
Bc_00062	411901.BACCAC_00063	0.0	2664.0	COG0642@1|root,COG0745@1|root,COG0745@2|Bacteria,COG2205@2|Bacteria,4NH1S@976|Bacteroidetes,2FRJN@200643|Bacteroidia,4APMB@815|Bacteroidaceae	976|Bacteroidetes	T	ATPase histidine kinase DNA gyrase B HSP90 domain protein	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HTH_18,HisKA,Reg_prop,Response_reg,Y_Y_Y
Bc_00063	411901.BACCAC_00064	2.99e-272	744.0	2EZHX@1|root,33SNZ@2|Bacteria,4P0DX@976|Bacteroidetes,2FXE6@200643|Bacteroidia	976|Bacteroidetes	S	Domain of unknown function (DUF5017)	-	-	-	-	-	-	-	-	-	-	-	-	DUF5017
Bc_00064	411901.BACCAC_00065	0.0	1254.0	COG0702@1|root,COG0702@2|Bacteria,4NEDB@976|Bacteroidetes,2FT1T@200643|Bacteroidia,4AR43@815|Bacteroidaceae	976|Bacteroidetes	GM	Pfam:SusD	-	-	-	ko:K21572	-	-	-	-	ko00000,ko02000	8.A.46.1,8.A.46.3	-	-	SusD-like_3,SusD_RagB
Bc_00065	411901.BACCAC_00066	0.0	2042.0	COG1629@1|root,COG1629@2|Bacteria,4NDXS@976|Bacteroidetes,2FKYX@200643|Bacteroidia,4AK5Y@815|Bacteroidaceae	976|Bacteroidetes	P	TonB-linked outer membrane protein, SusC RagA family	-	-	-	-	-	-	-	-	-	-	-	-	CarbopepD_reg_2,Plug,TonB_dep_Rec
Bc_00066	411901.BACCAC_00067	4.99e-136	384.0	COG0450@1|root,COG0450@2|Bacteria,4NEDT@976|Bacteroidetes,2FMG5@200643|Bacteroidia,4AMZ2@815|Bacteroidaceae	976|Bacteroidetes	O	Psort location Cytoplasmic, score	ahpC	-	1.11.1.15	ko:K03386	ko04214,map04214	-	-	-	ko00000,ko00001,ko01000,ko04147	-	-	-	1-cysPrx_C,AhpC-TSA
